"ean","gtin","fonteinfo","marca","produto","quantidade","unidade","quantidadeconvert","unidadeconvert","valor energetico","proteina","lipideos","colesterol","carboidrato","fibra alimentar","calcio","magnesio","manganes","fosforo","ferro","sodio","potassio","cobre","zinco","vitamina c"
,,"TACO",,"Tomate, extrato","100","g",,,61,"2,4","0,2","NA","15,0","2,8",29,29,"0,18",47,"2,1",498,680,"0,20","0,4","18,0"
,,"TACO",,"Tomate, molho industrializado","100","g",,,38,"1,4","0,9","NA","7,7","3,1",12,17,"0,08",27,"1,6",418,388,"0,08","0,1","2,7"
,,"TACO",,"Tomate, purê","100","g",,,28,"1,4","Tr","NA","6,9","1,0",13,15," ",30,"1,3",104,308,"0,09","0,3","5,4"
,,"TACO",,"Tomate, salada","100","g",,,21,"0,8","Tr","NA","5,1","2,3",7,10,"0,04",23,"0,3",5,161,"0,07","0,2","12,8"
,,"TACO",,"Vagem, crua","100","g",,,25,"1,8","0,2","NA","5,3","2,4",41,18,"0,50",28,"0,4","Tr",208,"0,06","0,3","1,2"
,,"TACO",,"Abacate, cru","100","g",,,96,"1,2","8,4","NA","6,0","6,3",8,15,"0,17",22,"0,2","Tr",206,"0,15","0,2","8,7"
,,"TACO",,"Abacaxi, cru","100","g",,,48,"0,9","0,1","NA","12,3","1,0",22,18,"1,62",13,"0,3","Tr",131,"0,11","0,1","34,6"
,,"TACO",,"Abacaxi, polpa, congelada","100","g",,,31,"0,5","0,1","NA","7,8","0,3",14,10,"1,02",8,"0,4",1,107,"0,04","0,1","1,2"
,,"TACO",,"Abiu, cru","100","g",,,62,"0,8","0,7","NA","14,9","1,7",6,9,"0,08",20,"0,2","Tr",128,"0,09","0,1","10,3"
,,"TACO",,"Açaí, polpa, com xarope de guaraná e glucose","100","g",,,110,"0,7","3,7","NA","21,5","1,7",22,13,"3,29",11,"0,3",15,75,"0,14","0,2","10,3"
,,"TACO",,"Açaí, polpa, congelada","100","g",,,58,"0,8","3,9","NA","6,2","2,6",35,17,"6,16",16,"0,4",5,124,"0,18","0,3","Tr"
,,"TACO",,"Acerola, crua","100","g",,,33,"0,9","0,2","NA","8,0","1,5",13,13,"0,07",9,"0,2","Tr",165,"0,07","0,1","941,4"
,,"TACO",,"Acerola, polpa, congelada","100","g",,,22,"0,6","Tr","NA","5,5","0,7",8,9,"0,03",13,"0,2",1,112,"0,04","0,1","623,2"
,,"TACO",,"Ameixa, calda, enlatada ","100","g",,,183,"0,4","Tr","NA","46,9","0,5",13,10,"0,10",21,"2,2",3,221,"0,03","0,1","4,3"
,,"TACO",,"Ameixa, crua","100","g",,,53,"0,8","Tr","NA","13,9","2,4",6,5,"0,03",14,"0,1","Tr",134,"0,06","0,1","7,6"
,,"TACO",,"Ameixa, em calda, enlatada, drenada ","100","g",,,177,"1,0","0,3","NA","47,7","4,5",39,14,"0,20",26,"2,7",3,263,"0,16","0,2","5,2"
,,"TACO",,"Atemóia, crua","100","g",,,97,"1,0","0,3","NA","25,3","2,1",23,25,"0,16",23,"0,2",1,300,"0,17","0,2","10,1"
,,"TACO",,"Banana, da terra, crua","100","g",,,128,"1,4","0,2","NA","33,7","1,5",4,24,"0,16",26,"0,3","Tr",328,"0,05","0,2","15,7"
,,"TACO",,"Banana, doce em barra","100","g",,,280,"2,2","0,1","NA","75,7","3,8",12,49,"0,84",37,"0,6",10,518,"0,16","0,3","Tr"
,,"TACO",,"Banana, figo, crua","100","g",,,105,"1,1","0,1","NA","27,8","2,8",6,30,"0,21",16,"0,2","Tr",387,"0,06","0,1","17,5"
,,"TACO",,"Banana, maçã, crua","100","g",,,87,"1,8","0,1","NA","22,3","2,6",3,24,"0,60",29,"0,2","Tr",264,"0,11","0,1","10,5"
,,"TACO",,"Banana, nanica, crua","100","g",,,92,"1,4","0,1","NA","23,8","1,9",3,28,"0,14",27,"0,3","Tr",376,"0,10","0,2","5,9"
,,"TACO",,"Banana, ouro, crua","100","g",,,112,"1,5","0,2","NA","29,3","2,0",3,28,"0,09",22,"0,3","Tr",355,"0,08","0,3","7,6"
,,"TACO",,"Banana, pacova, crua","100","g",,,78,"1,2","0,1","NA","20,3","2,0",5,30,"0,41",20,"0,4",1,267,"0,06","0,1","Tr"
,,"TACO",,"Banana, prata, crua","100","g",,,98,"1,3","0,1","NA","26,0","2,0",8,26,"0,42",22,"0,4","Tr",358,"0,05","0,1","21,6"
,,"TACO",,"Cacau, cru","100","g",,,74,"1,0","0,1","NA","19,4","2,2",12,25,"0,04",9,"0,3",1,72,"0,15","0,6","13,6"
,,"TACO",,"Cajá-Manga, cru","100","g",,,46,"1,3","Tr","NA","11,4","2,6",13,11,"0,05",24,"0,2",1,119,"0,02","0,2","26,7"
,,"TACO",,"Cajá, polpa, congelada","100","g",,,26,"0,6","0,2","NA","6,4","1,4",9,7,"0,07",26,"0,3",7,148,"0,10","0,1","Tr"
,,"TACO",,"Caju, cru","100","g",,,43,"1,0","0,3","NA","10,3","1,7",1,10,"0,12",16,"0,2",3,124,"0,07","0,1","219,3"
,,"TACO",,"Caju, polpa, congelada","100","g",,,37,"0,5","0,2","NA","9,4","0,8",1,7,"0,05",10,"0,1",4,88,"0,07","0,1","119,7"
,,"TACO",,"Caju, suco concentrado, envasado","100","g",,,45,"0,4","0,2","NA","10,7","0,6",1,8,"0,06",11,"0,1",45,107,"0,04","0,1","138,7"
,,"TACO",,"Caqui, chocolate, cru","100","g",,,71,"0,4","0,1","NA","19,3","6,5",18,9,"0,39",18,"0,1",2,164,"Tr","0,2","29,6"
,,"TACO",,"Carambola, crua","100","g",,,46,"0,9","0,2","NA","11,5","2,0",5,7,"0,13",11,"0,2",4,133,"0,08","0,2","60,9"
,,"TACO",,"Ciriguela, crua","100","g",,,76,"1,4","0,4","NA","18,9","3,9",27,18,"0,06",49,"0,4",2,248,"0,12","0,5","27,0"
,,"TACO",,"Cupuaçu, cru","100","g",,,49,"1,2","1,0","NA","10,4","3,1",13,18,"0,07",21,"0,5",3,331,"0,07","0,3","24,5"
,,"TACO",,"Cupuaçu, polpa, congelada","100","g",,,49,"0,8","0,6","NA","11,4","1,6",5,14,"0,17",14,"0,3",1,291,"0,14","0,2","10,5"
,,"TACO",,"Figo, cru","100","g",,,41,"1,0","0,2","NA","10,2","1,8",27,11,"0,06",15,"0,2","Tr",174,"0,13","0,1","0,8"
,,"TACO",,"Figo, enlatado, em calda","100","g",,,184,"0,6","0,2","NA","50,3","2,0",33,7,"0,16",6,"0,5",7,39,"0,25","0,1","5,2"
,,"TACO",,"Fruta-pão, crua","100","g",,,67,"1,1","0,2","NA","17,2","5,5",34,24,"0,04",27,"0,2",1,188,"0,07","0,1","9,9"
,,"TACO",,"Goiaba, branca, com casca, crua","100","g",,,52,"0,9","0,5","NA","12,4","6,3",5,7,"0,07",16,"0,2","Tr",220,"0,04","0,2","99,2"
,,"TACO",,"Goiaba, doce em pasta","100","g",,,269,"0,6","0,0","NA","74,1","3,7",10,6,"0,11",54,"0,4",4,165,"0,06","0,1","23,1"
,,"TACO",,"Goiaba, doce, cascão","100","g",,,286,"0,4","0,1","NA","78,7","4,4",15,10,"0,16",28,"0,4",11,251,"0,08","0,1","34,3"
,,"TACO",,"Goiaba, vermelha, com casca, crua","100","g",,,54,"1,1","0,4","NA","13,0","6,2",4,7,"0,09",15,"0,2","Tr",198,"0,04","0,1","80,6"
,,"TACO",,"Graviola, crua","100","g",,,62,"0,8","0,2","NA","15,8","1,9",40,23,"0,08",19,"0,2",4,250,"0,04","0,1","19,1"
,,"TACO",,"Graviola, polpa, congelada","100","g",,,38,"0,6","0,1","NA","9,8","1,2",6,10,"0,06",17,"0,1",3,170,"0,06","0,1","10,5"
,,"TACO",,"Jabuticaba, crua","100","g",,,58,"0,6","0,1","NA","15,3","2,3",8,18,"0,30",15,"0,1","Tr",130,"0,07","0,3","16,2"
,,"TACO",,"Jaca, crua","100","g",,,88,"1,4","0,3","NA","22,5","2,4",11,40,"0,48",14,"0,4",2,234,"0,09","0,2","14,8"
,,"TACO",,"Jambo, cru","100","g",,,27,"0,9","0,1","NA","6,5","5,1",14,14,"0,05",18,"0,1",22,135,"0,02","0,1","3,8"
,,"TACO",,"Jamelão, cru","100","g",,,41,"0,5","0,1","NA","10,6","1,8",3,2,"Tr",4,"0,0",1,394,"0,03","0,0","27,1"
,,"TACO",,"Kiwi, cru","100","g",,,51,"1,3","0,6","NA","11,5","2,7",24,11,"0,05",33,"0,3","Tr",269,"0,15","0,1","70,8"
,,"TACO",,"Laranja, baía, crua","100","g",,,45,"1,0","0,1","NA","11,5","1,1",35,9,"0,04",24,"0,1","Tr",174,"0,04","0,1","56,9"
,,"TACO",,"Laranja, baía, suco","100","g",,,37,"0,7","Tr","NA","8,7","Tr",6,8,"0,02",22,"0,1","Tr",173,"0,02","Tr","94,5"
,,"TACO",,"Laranja, da terra, crua","100","g",,,51,"1,1","0,2","NA","12,9","4,0",51,14,"0,04",20,"0,1",1,173,"0,04","0,2","34,7"
,,"TACO",,"Laranja, da terra, suco","100","g",,,41,"0,7","0,1","NA","9,6","1,0",13,10,"0,02",15,"0,1","Tr",145,"0,02","0,1","44,3"
,,"TACO",,"Laranja, lima, crua","100","g",,,46,"1,1","0,1","NA","11,5","1,8",31,10,"0,05",15,"0,1",1,130,"0,03","0,1","43,5"
,,"TACO",,"Laranja, lima, suco","100","g",,,39,"0,7","0,1","NA","9,2","0,4",8,11,"0,02",16,"Tr","Tr",129,"0,02","0,0","41,3"
,,"TACO",,"Laranja, pêra, crua","100","g",,,37,"1,0","0,1","NA","8,9","0,8",22,9,"0,05",23,"0,1","Tr",163,"0,03","0,1","53,7"
,,"TACO",,"Laranja, pêra, suco","100","g",,,33,"0,7","0,1","NA","7,6","Tr",7,8,"0,03",14,"Tr","Tr",149,"0,01","Tr","73,3"
,,"TACO",,"Laranja, valência, crua","100","g",,,46,"0,8","0,2","NA","11,7","1,7",34,14,"0,06",20,"0,1",1,158,"0,04","0,1","47,8"
,,"TACO",,"Laranja, valência, suco","100","g",,,36,"0,5","0,1","NA","8,6","0,4",9,10,"0,03",17,"Tr","Tr",143,"0,02","Tr","*"
,,"TACO",,"Limão, cravo, suco","100","g",,,14,"0,3","Tr","NA","5,2","Tr",10,9,"0,03",11,"0,1","Tr",120,"0,03",,"32,8"
,,"TACO",,"Limão, galego, suco","100","g",,,22,"0,6","0,1","NA","7,3","Tr",5,6,"0,01",13,"0,1","Tr",113,"0,02","0,1","34,5"
,,"TACO",,"Limão, tahiti, cru","100","g",,,32,"0,9","0,1","NA","11,1","1,2",51,10,"0,07",24,"0,2",1,128,"0,06","0,2","38,2"
,,"TACO",,"Maçã, Argentina, com casca, crua","100","g",,,63,"0,2","0,2","NA","16,6","2,0",3,5,"0,01",11,"0,1",1,117,"0,03","Tr","1,5"
,,"TACO",,"Maçã, Fuji, com casca, crua","100","g",,,56,"0,3","Tr","NA","15,2","1,3",2,2,"0,03",9,"0,1","Tr",75,"0,06","Tr","2,4"
,,"TACO",,"Macaúba, crua","100","g",,,404,"2,1","40,7","NA","13,9","13,4",67,66,"0,08",44,"0,8",1,306,"0,35","0,7","13,4"
,,"TACO",," Mamão, doce em calda, drenado","100","g",,,196,"0,2","0,1","NA","54,0","1,3",20,6,"0,02",4,"0,1",3,68,"0,02","0,1","3,9"
,,"TACO",,"Mamão, Formosa, cru","100","g",,,45,"0,8","0,1","NA","11,6","1,8",25,17,"0,04",11,"0,2",3,222,"1,36","0,1","78,5"
,,"TACO",,"Mamão, Papaia, cru","100","g",,,40,"0,5","0,1","NA","10,4","1,0",22,22,"0,01",11,"0,2",2,126,"0,02","0,1","82,2"
,,"TACO",," Mamão verde, doce em calda, drenado","100","g",,,209,"0,3","0,1","NA","57,6","1,2",12,5,"0,04",3,"0,2",5,9,"0,02","0,0","Tr"
,,"TACO",,"Manga, Haden, crua","100","g",,,64,"0,4","0,3","NA","16,7","1,6",12,8,"0,17",9,"0,1",1,148,"0,10","0,1","17,4"
,,"TACO",,"Manga, Palmer, crua","100","g",,,72,"0,4","0,2","NA","19,4","1,6",12,9,"0,05",14,"0,1",2,157,"0,09","0,1","65,5"
,,"TACO",,"Manga, polpa, congelada","100","g",,,48,"0,4","0,2","NA","12,5","1,1",7,9,"0,12",9,"0,1",7,131,"0,06","0,1","24,9"
,,"TACO",,"Manga, Tommy Atkins, crua","100","g",,,51,"0,9","0,2","NA","12,8","2,1",8,7,"0,34",14,"0,1","Tr",138,"0,06","0,1","7,9"
,,"TACO",,"Maracujá, cru","100","g",,,68,"2,0","2,1","NA","12,3","1,1",5,28,"0,12",51,"0,6",2,338,"0,19","0,4","19,8"
,,"TACO",,"Maracujá, polpa, congelada","100","g",,,39,"0,8","0,2","NA","9,6","0,5",5,10,"0,07",15,"0,3",8,228,"0,05","0,2","7,3"
,,"TACO",,"Maracujá, suco concentrado, envasado","100","g",,,42,"0,8","0,2","NA","9,6","0,4",4,4,"0,07",14,"0,3",22,201,"0,05","0,1","13,7"
,,"TACO",,"Melancia, crua","100","g",,,33,"0,9","Tr","NA","8,1","0,1",8,10,"0,14",12,"0,2","Tr",104,"0,04","0,1","6,1"
,,"TACO",,"Melão, cru","100","g",,,29,"0,7","Tr","NA","7,5","0,3",3,6,"0,05",10,"0,2",11,216,"0,04","0,1","8,7"
,,"TACO",,"Mexerica, Murcote, crua","100","g",,,58,"0,9","0,1","NA","14,9","3,1",33,12,"0,05",19,"0,1",1,159,"0,06","0,1","21,8"
,,"TACO",,"Mexerica, Rio, crua","100","g",,,37,"0,7","0,1","NA","9,3","2,7",17,8,"0,05",14,"0,1",2,125,"0,07","0,2","112,0"
,,"TACO",,"Morango, cru","100","g",,,30,"0,9","0,3","NA","6,8","1,7",11,10,"0,33",22,"0,3","Tr",184,"0,06","0,2","63,6"
,,"TACO",,"Nêspera, crua","100","g",,,43,"0,3","Tr","NA","11,5","3,0",20,10,"0,07",10,"0,1","Tr",113,"0,12","0,1","3,2"
,,"TACO",,"Pequi, cru","100","g",,,205,"2,3","18,0","NA","13,0","19,0",32,30,"0,64",34,"0,3","Tr",298,"0,21","1,0","8,3"
,,"TACO",,"Pêra, Park, crua","100","g",,,61,"0,2","0,2","NA","16,1","3,0",9,6,"0,04",12,"0,3",1,102,"0,08","0,1","2,4"
,,"TACO",,"Pêra, Williams, crua","100","g",,,53,"0,6","0,1","NA","14,0","3,0",8,6,"0,04",12,"0,1","Tr",116,"0,07","0,1","2,8"
,,"TACO",,"Pêssego, Aurora, cru","100","g",,,36,"0,8","Tr","NA","9,3","1,4",3,4,"0,05",15,"0,2","Tr",124,"0,02","0,1","3,3"
,,"TACO",,"Pêssego, enlatado, em calda","100","g",,,63,"0,7","Tr","NA","16,9","1,0",4,4,"0,03",9,"0,6",3,95,"0,04","0,1","Tr"
,,"TACO",,"Pinha, crua","100","g",,,88,"1,5","0,3","NA","22,4","3,4",21,31,"0,15",34,"0,2",1,283,"0,11","0,2","35,9"
,,"TACO",,"Pitanga, crua","100","g",,,41,"0,9","0,2","NA","10,2","3,2",18,12,"0,36",13,"0,4",2,113,"0,08","0,4","24,9"
,,"TACO",,"Pitanga, polpa, congelada","100","g",,,19,"0,3","0,1","NA","4,8","0,7",8,6,"0,05",12,"0,4",5,87,"0,06","0,1","Tr"
,,"TACO",,"Romã, crua","100","g",,,56,"0,4","Tr","NA","15,1","0,4",5,13,"0,13",40,"0,3",1,485,"0,19","0,7","8,1"
,,"TACO",,"Tamarindo, cru","100","g",,,276,"3,2","0,5","NA","72,5","6,4",37,59,"0,34",55,"0,6",0,723,"0,29","0,7","7,2"
,,"TACO",,"Tangerina, Poncã, crua","100","g",,,38,"0,8","0,1","NA","9,6","0,9",13,8,"0,04",12,"0,1","Tr",131,"0,03","Tr","48,8"
,,"TACO",,"Tangerina, Poncã, suco","100","g",,,36,"0,5","Tr","NA","8,8","Tr",4,6,"0,02",9,"Tr","Tr",119,"0,02","Tr","41,8"
,,"TACO",,"Tucumã, cru","100","g",,,262,"2,1","19,1","NA","26,5","12,7",46,121,"0,55",53,"0,6",4,401,"0,39","0,9","18,0"
,,"TACO",,"Umbu, cru","100","g",,,37,"0,8","Tr","NA","9,4","2,0",12,11,"0,03",13,"0,1","Tr",152,"0,04","0,4","24,1"
,,"TACO",,"Umbu, polpa, congelada","100","g",,,34,"0,5","0,1","NA","8,8","1,3",11,8,"0,05",13,"0,2",6,154,"0,04","0,1","4,0"
,,"TACO",,"Uva, Itália, crua","100","g",,,53,"0,7","0,2","NA","13,6","0,9",7,5,"0,13",12,"0,1","Tr",162,"0,11","Tr","3,3"
,,"TACO",,"Uva, Rubi, crua","100","g",,,49,"0,6","0,2","NA","12,7","0,9",8,6,"0,07",23,"0,2",8,159,"0,05","Tr","1,9"
,,"TACO",,"Uva, suco concentrado, envasado","100","g",,,58,"Tr","Tr","NA","14,7","0,2",9,7,"0,20",10,"0,1",10,54,"0,13","0,1","21,0"
,,"TACO",,"Azeite, de dendê","100","g",,,884,"NA","100,0","NA","NA","NA",,,,,,,,,,
,,"TACO",,"Azeite, de oliva, extra virgem","100","g",,,884,"NA","100,0","NA","NA","NA",,,,,,,,,,
,,"TACO",,"Manteiga, com sal","100","g",,,726,"0,4","82,4",201,"0,1","NA",9,1,"Tr",28,"0,2",579,15,"Tr","Tr","Tr"
,,"TACO",,"Manteiga, sem sal","100","g",,,758,"0,4","86,0",214,"0,0","NA",4,1,"Tr",7,"Tr",4,5,"0,04","Tr","Tr"
,,"TACO",,"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","100","g",,,596,"Tr","67,4","NA","0,0","NA",6,1,"Tr",7,"0,1",894,21,"Tr","Tr","Tr"
,,"TACO",,"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)","100","g",,,723,"Tr","81,7","NA","0,0","NA",3,1,"Tr",4,"0,1",78,2,"Tr","Tr","Tr"
,,"TACO",,"Margarina, com óleo interesterificado, com sal (65%de lipídeos)","100","g",,,594,"Tr","67,2","NA","0,0","NA",5,1,"Tr",6,"Tr",561,15,"Tr","Tr","Tr"
,,"TACO",,"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)","100","g",,,593,"Tr","67,1","NA","0,0","NA",5,1,"Tr",7,"0,1",33,5,"Tr","Tr","Tr"
,,"TACO",,"Óleo, de babaçu","100","g",,,884,"NA","100,0","NA","NA","NA",,,,,,,,,,
,,"TACO",,"Óleo, de canola","100","g",,,884,"NA","100,0","NA","NA","NA",,,,,,,,,,
,,"TACO",,"Óleo, de girassol","100","g",,,884,"NA","100,0","NA","NA","NA",,,,,,,,,,
,,"TACO",,"Óleo, de milho","100","g",,,884,"NA","100,0","NA","NA","NA",,,,,,,,,,
,,"TACO",,"Óleo, de pequi","100","g",,,884,"NA","100,0","NA","NA","NA",,,,,,,,,,
,,"TACO",,"Óleo, de soja","100","g",,,884,"NA","100,0","NA","NA","NA",,,,,,,,,,
,,"TACO",,"Abadejo, filé, congelado, assado","100","g",,,112,"23,5","1,2",103,"0,0","NA",23,20,"Tr",338,"0,5",334,156,"0,03","0,5",
,,"TACO",,"Abadejo, filé, congelado,cozido","100","g",,,91,"19,3","0,9",87,"0,0","NA",17,16,"Tr",351,"0,3",189,146,"0,03","0,4",
,,"TACO",,"Abadejo, filé, congelado, cru","100","g",,,59,"13,1","0,4",31,"0,0","NA",10,14,"0,01",91,"0,1",79,148,"0,14","0,4",
,,"TACO",,"Abadejo, filé, congelado, grelhado","100","g",,,130,"27,6","1,3",136,"0,0","NA",20,22,"Tr",581,"0,3",305,279,"Tr","0,4",
,,"TACO",,"Atum, conserva em óleo","100","g",,,166,"26,2","6,0",53,"0,0","NA",7,29,"Tr",211,"1,2",362,280,"0,04","0,6",
,,"TACO",,"Atum, fresco, cru","100","g",,,118,"25,7","0,9",48,"0,0","NA",7,32,"Tr",254,"1,3",30,308,"0,09","0,4",
,,"TACO",,"Bacalhau, salgado, cru","100","g",,,136,"29,0","1,3",139,"0,0","NA",157,49,"0,03",186,"0,9",13585,434,"0,09","0,7",
,,"TACO",,"Bacalhau, salgado, refogado","100","g",,,140,"24,0","3,6",112,"1,2","*",59,15,"Tr",51,"0,2",1256,50,"0,04","0,6","Tr"
,,"TACO",,"Cação, posta, com farinha de trigo, frita","100","g",,,208,"25,0","10,0",75,"3,1","0,5",30,26,"0,06",462,"1,0",160,420,"Tr","0,6",
,,"TACO",,"Cação, posta, cozida","100","g",,,116,"25,6","0,7",83,"0,0","NA",10,21,"Tr",204,"0,3",115,249,"0,03","0,6",
,,"TACO",,"Cação, posta, crua","100","g",,,83,"17,9","0,8",36,"0,0","NA",9,19,"0,04",181,"0,2",176,299,"0,13","0,3",
,,"TACO",,"Camarão, Rio Grande, grande, cozido","100","g",,,90,"19,0","1,0",241,"0,0","NA",90,19,"0,06",266,"1,3",367,102,"0,17","1,2",
,,"TACO",,"Camarão, Rio Grande, grande, cru","100","g",,,47,"10,0","0,5",124,"0,0","NA",51,27,"0,04",234,"0,7",201,72,"0,11","0,7",
,,"TACO",,"Camarão, Sete Barbas, sem cabeça, com casca, frito","100","g",,,231,"18,4","15,6",283,"2,9","NA",960,74,"0,38",337,"2,4",99,107,"0,19","1,1",
,,"TACO",,"Caranguejo, cozido","100","g",,,83,"18,5","0,4",85,"0,0","NA",357,52,"0,07",154,"2,9",360,186,"0,72","5,7","Tr"
,,"TACO",,"Corimba, cru","100","g",,,128,"17,4","6,0",40,"0,0","NA",40,23,"0,02",190,"0,5",47,317,"0,03","0,4",
,,"TACO",,"Corimbatá, assado","100","g",,,261,"19,9","19,6",80,"0,0","NA",22,24,"0,01",221,"1,0",40,326,"0,03","0,7",
,,"TACO",,"Corimbatá, cozido","100","g",,,239,"20,1","16,9",75,"0,0","NA",65,23,"0,02",185,"0,6",37,254,"0,05","1,0",
,,"TACO",,"Corvina de água doce, crua","100","g",,,101,"18,9","2,2",73,"0,0","NA",39,25,"0,02",154,"0,3",45,293,"0,02","0,4",
,,"TACO",,"Corvina do mar, crua","100","g",,,94,"18,6","1,6",67,"0,0","NA","*",24,"0,01",183,"0,4",68,339,"0,03","0,4",
,,"TACO",,"Corvina grande, assada","100","g",,,147,"26,8","3,6",117,"0,0","NA",60,24,"0,03",176,"0,5",85,291,"0,02","0,7",
,,"TACO",,"Corvina grande, cozida","100","g",,,100,"23,4","2,6",123,"0,0","NA",69,22,"0,02",164,"0,6",68,194,"0,03","0,7",
,,"TACO",,"Dourada de água doce, fresca","100","g",,,131,"18,8","5,6",52,"0,0","NA",12,26,"0,01",189,"0,2",40,393,"0,02","0,5",
,,"TACO",,"Lambari, congelado, cru","100","g",,,131,"16,8","6,5",159,"0,0","NA",1181,45,"0,28",696,"0,9",48,244,"0,09","3,3",
,,"TACO",,"Lambari, congelado, frito","100","g",,,327,"28,4","22,8",246,"0,0","NA",1881,66,"0,34",1067,"0,8",65,331,"0,31","5,6",
,,"TACO",,"Lambari, fresco, cru","100","g",,,152,"15,7","9,4",144,"0,0","NA",590,32,"0,41",441,"0,6",41,207,"0,05","2,4",
,,"TACO",,"Manjuba, com farinha de trigo, frita","100","g",,,344,"23,5","22,6",282,"10,2","0,4",763,47,"0,36",578,"3,0",37,319,"0,15","3,8",
,,"TACO",,"Manjuba, frita","100","g",,,349,"30,1","24,5",270,"0,0","NA",575,32,"0,21",735,"0,9",41,318,"0,14","3,2",
,,"TACO",,"Merluza, filé, assado","100","g",,,122,"26,6","0,9",91,"0,0","NA",36,20,"0,03",273,"0,4",120,364,"0,03","0,9",
,,"TACO",,"Merluza, filé, cru","100","g",,,89,"16,6","2,0",57,"0,0","NA",20,27,"0,01",185,"0,2",80,340,"Tr","0,3",
,,"TACO",,"Merluza, filé, frito","100","g",,,192,"26,9","8,5",109,"0,0","NA",36,38,"0,02",279,"0,4",90,447,"0,03","0,6",
,,"TACO",,"Pescada, branca, crua","100","g",,,111,"16,3","4,6",51,"0,0","NA",16,19,"0,01",136,"0,2",76,261,"Tr","0,3",
,,"TACO",,"Pescada, branca, frita","100","g",,,223,"27,4","11,8",165,"0,0","NA",378,30,"0,06",504,"0,5",107,355,"0,08","1,1",
,,"TACO",,"Pescada, filé, com farinha de trigo, frito","100","g",,,283,"21,4","19,1",73,"5,0","Tr",26,28,"0,07",216,"0,9",91,216,"0,03","0,4",
,,"TACO",,"Pescada, filé, cru","100","g",,,107,"16,7","4,0",65,"0,0","NA",14,23,"0,01",141,"0,2",77,253,"Tr","0,3",
,,"TACO",,"Pescada, filé, frito","100","g",,,154,"28,6","3,6",81,"0,0","NA",10,21,"Tr",204,"0,3",115,249,"0,03","0,6",
,,"TACO",,"Pescada, filé, molho escabeche","100","g",,,142,"11,8","8,0",43,"5,0","0,8",20,18,"0,08",105,"1,5",51,208,"0,36","0,3","6,9"
,,"TACO",,"Pescadinha, crua","100","g",,,76,"15,5","1,1",84,"0,0","NA",332,34,"0,07",327,"0,5",120,304,"0,10","0,6",
,,"TACO",,"Pintado, assado","100","g",,,192,"36,5","4,0",126,"0,0","NA",114,42,"0,08",332,"0,8",81,527,"0,04","2,1",
,,"TACO",,"Pintado, cru","100","g",,,91,"18,6","1,3",50,"0,0","NA",12,24,"0,01",174,"0,2",43,294,"0,03","0,4",
,,"TACO",,"Pintado, grelhado","100","g",,,152,"30,8","2,3",99,"0,0","NA",69,27,"0,03",237,"0,5",53,360,"0,04","0,8",
,,"TACO",,"Porquinho, cru","100","g",,,93,"20,5","0,6",49,"0,0","NA",26,24,"0,05",207,"0,4",67,313,"0,04","0,7",
,,"TACO",,"Salmão, filé, com pele, fresco,  grelhado","100","g",,,229,"23,9","14,0",85,"0,0","NA",29,28,"0,02",300,"0,5",85,384,"0,04","0,6",
,,"TACO",,"Salmão, sem pele, fresco, cru","100","g",,,170,"19,3","9,7",53,"0,0","NA",9,27,"Tr",259,"0,2",64,376,"0,02","0,3",
,,"TACO",,"Salmão, sem pele, fresco, grelhado","100","g",,,243,"26,1","14,5",73,"0,0","NA",15,38,"0,01",352,"0,4",96,518,"0,04","0,5",
,,"TACO",,"Sardinha, assada","100","g",,,164,"32,2","3,0",109,"0,0","NA",438,51,"0,24",578,"1,3",74,574,"0,14","1,8",
,,"TACO",,"Sardinha, conserva em óleo","100","g",,,285,"15,9","24,0",73,"0,0","NA",550,35,"0,11",496,"3,5",666,367,"0,03","1,6",
,,"TACO",,"Sardinha, frita","100","g",,,257,"33,4","12,7",103,"0,0","NA",482,39,"0,25",629,"1,1",60,460,"0,14","1,6",
,,"TACO",,"Sardinha, inteira, crua","100","g",,,114,"21,1","2,7",61,"0,0","NA",167,29,"0,10",294,"1,3",60,312,"0,13","1,3",
,,"TACO",,"Tucunaré, filé, congelado, cru","100","g",,,88,"18,0","1,2",47,"0,0","NA",19,26,"0,01",168,"0,3",57,288,"0,10","0,4",
,,"TACO",,"Apresuntado","100","g",,,129,"13,5","6,7",38,"2,9","NA",23,15,"0,04",225,"0,9",943,270,"0,03","1,6","Tr"
,,"TACO",,"Caldo de carne, tablete","100","g",,,241,"7,8","16,6","Tr","15,1","0,6",129,22,"0,02",123,"Tr",22180,218,"Tr","Tr",
,,"TACO",,"Caldo de galinha, tablete","100","g",,,251,"6,3","20,4",2,"10,6","11,8",16,13,"0,13",48,"0,7",22300,68,"Tr","0,3",
,,"TACO",,"Carne, bovina, acém, moído, cozido","100","g",,,212,"26,7","10,9",103,"0,0","NA",4,17,"0,01",164,"2,7",52,256,"0,06","8,1",
,,"TACO",,"Carne, bovina, acém, moído, cru","100","g",,,137,"19,4","5,9",58,"0,0","NA",3,14,"Tr",158,"1,8",49,237,"0,08","6,3",
,,"TACO",,"Carne, bovina, acém, sem gordura, cozido","100","g",,,215,"27,3","10,9",107,"0,0","NA",7,14,"Tr",164,"2,4",56,254,"0,07","8,0",
